10 derechos generales de los pacientes|||Uchi tahan cha cuiti iyo chi ñivi cuhvi.
Recibir atención médica adecuada.||| Iyo cha cuiti chihin cun cha cua ndehe vaha iin dotor chihin cun cuhva cha tahan chi.

Recibir trato digno y respetuoso.||| Iyo cha cuiti chihin cun cha cua tayahvi ra dotor ndihi cha cuiti cha iyo chihun, ta cua sacahnu ra chihun.

Recibir información suficiente, clara, oportuna y veraz.||| Iyo cha cuiti chihin cun cha cua cati tuhun vaha ra dotor chihun hora cha tahan chi, ta cua cati ra cha ndicha chihin cun.

Decidir libremente sobre tu atención.||| Iyo cha cuiti chihin cun cha cua cati maun yoso cuhva cua ndehe ra dotor chihun.

Otorgar o no tu consentimiento válidamente informado.||| Iyo cha cuiti chihin cun cha cua cati tuhun vaha ñi chihin cun, ta cua cati maan cun ndaa cha cuni cun a ña cuni cun.

Ser tratado con confidencialidad.||| Iyo cha cuiti chihin cun tu cuni cun cha yoni cua coto ñaan tahan cun.

Contar con facilidades para obtener una segunda opinión.||| Iyo cha cuiti chihin cun cha cua cuhun cun nuun inca dotor, ta cua nducu tuhun cun ñaan tahan cun.

Recibir atención médica en caso de urgencia.||| Iyo cha cuiti chihin cun cha quii ni cua ndehe dotor chihin cun tu cha iyo xaan tahan cun cha cuhvi cun.

Contar con un expediente clínico.||| Iyo cha cuiti chihin cun cha cua coo iin tutu cuenda ndihi cuehe cha tahan cun.

Ser atendido cuando te inconformes por la atención médica recibida.|||Iyo cha cuiti chihin cun cha cua cahan ñivi cha cahun tu cua xico tuhun cun chi iin dotor cha ña ndehe vaha chihin cun.

